Economy,Year,freight,passenger,freight_activity,passenger_activity
01_AUS,2017,434.4310136287106,949.7239060803911,744.1506257413457,457.720613353708
01_AUS,2018,454.7918989477105,939.4906053040102,769.390584060259,453.5438566999874
01_AUS,2019,465.5491360090953,960.8571533769057,787.4264877564466,464.52050767672523
01_AUS,2020,456.8537080892318,803.4722085869918,782.2600752293237,380.6855538454335
01_AUS,2021,442.23375897469003,902.9427811309671,774.937429552015,443.0125804721376
01_AUS,2022,450.240654913886,959.0441131615688,785.3105019314972,487.51745936855394
01_AUS,2023,456.9736220179675,961.4185359260857,795.2266681787444,504.30398380642725
01_AUS,2024,464.80318988633195,952.8622972146354,809.516926969142,512.1274724630233
01_AUS,2025,472.6100398865798,944.5141240915588,823.2880306458342,519.8876991595093
01_AUS,2026,477.9288857461105,936.7818496537047,831.930968999382,527.944059451741
01_AUS,2027,483.204103962258,929.3036859507795,840.1756608750588,536.1087060012646
01_AUS,2028,488.43165260558965,922.1457950236636,848.0306711354028,544.3931116341665
01_AUS,2029,493.6391904066847,915.4534847100853,855.5175407801595,552.814762053944
01_AUS,2030,499.1384700031832,911.6201800147921,862.652969353172,561.391751859068
01_AUS,2031,504.88516029984476,902.0622975017208,869.4327741959027,565.2132365098558
01_AUS,2032,510.8025691764596,900.2865706329685,875.8272003938132,574.1581701078179
01_AUS,2033,516.9157471562194,892.8500507173483,881.7632668116596,578.3792090700459
01_AUS,2034,523.0921675192543,892.9648859350143,887.1485525509298,587.6927530228318
01_AUS,2035,529.3195234715824,893.8861002896854,891.9245358624555,597.1727766957306
01_AUS,2036,535.5510036513176,895.4760907317988,896.0716446174911,606.8191787767742
01_AUS,2037,541.6715279736649,896.8921878535564,899.6099620114298,616.6154568908031
01_AUS,2038,547.6745022095103,898.0357607805936,902.584742035438,626.572055814942
01_AUS,2039,553.4500558891352,892.636401293047,903.486583655296,631.8237011351532
01_AUS,2040,558.9310304434982,892.9920412505103,902.45578709202,642.1490928155089
01_AUS,2041,564.317544576858,893.0770667787206,901.1702122462549,652.6681336635713
01_AUS,2042,569.565127156342,892.7886184925745,899.6758604194335,663.4127767977324
01_AUS,2043,574.6307346749096,892.0095226496995,898.0260868829998,674.3928768808618
01_AUS,2044,579.4651070592755,890.64356154357,896.2685584081818,685.6185109598429
01_AUS,2045,584.0116285755968,888.6211964428967,894.4427121772887,697.0983433319442
01_AUS,2046,588.2095571400321,885.9074572935239,892.5835762121342,708.8402867093978
01_AUS,2047,591.9899979485598,882.4668678018342,890.7122901646112,720.8142057236328
01_AUS,2048,595.2843291743212,878.3384009105121,888.8465173939942,733.0157442192249
01_AUS,2049,598.0258642886636,873.6050847839042,886.9970911960888,745.4404897160846
01_AUS,2050,600.9696725159392,869.737800759083,886.5736124741596,758.0878499877912
01_AUS,2051,0.0,0.0,883.1682541965155,780.6423689874864
01_AUS,2052,0.0,0.0,879.6383081257536,793.8303837930291
01_AUS,2053,0.0,0.0,891.1302023416138,807.3094957054466
01_AUS,2054,0.0,0.0,902.7168009102752,821.0898283043359
01_AUS,2055,0.0,0.0,914.4048936215986,835.1807393688239
01_AUS,2056,0.0,0.0,926.1979642391044,849.5907036239864
01_AUS,2057,0.0,0.0,938.0934725312736,864.3264101825258
01_AUS,2058,0.0,0.0,950.0855719550625,879.3936447790945
01_AUS,2059,0.0,0.0,962.1635613561156,894.7967704596575
01_AUS,2060,0.0,0.0,974.3189452086003,910.5410585913054
01_AUS,2061,0.0,0.0,986.5495548429119,926.634072419253
01_AUS,2062,0.0,0.0,998.8534106234796,943.0836492160187
01_AUS,2063,0.0,0.0,1011.2230457653586,959.8960105872922
01_AUS,2064,0.0,0.0,1023.6509788670473,977.0775803311398
01_AUS,2065,0.0,0.0,1036.1312883609678,994.6355183280671
01_AUS,2066,0.0,0.0,1048.6605089979228,1012.5780335973092
01_AUS,2067,0.0,0.0,1061.237831334839,1030.914466748399
01_AUS,2068,0.0,0.0,1073.8576170819224,1049.6527785608018
01_AUS,2069,0.0,0.0,1086.5139649183334,1068.80108393692
01_AUS,2070,0.0,0.0,1099.2044475215225,1088.3689252655638
02_BD,2017,3.369411294172573,15.414374418378678,1.0855238130758247,6.263663052478087
02_BD,2018,3.3960791559273504,15.838220593010705,1.0939516193137175,6.421338827063105
02_BD,2019,3.442703921952729,16.238649088075537,1.1087413497363094,6.572315267280772
02_BD,2020,3.5247630306696327,16.61610842283671,1.13487428794298,6.71554052020628
02_BD,2021,3.6487202345500056,16.970421720170332,1.174426684866018,6.851300052882067
02_BD,2022,3.673977186416115,17.49758030325175,1.1860824777733203,7.172801924370433
02_BD,2023,3.6217764333681446,17.5694162804473,1.2000493710343811,7.484877909109329
02_BD,2024,3.6119492027069535,17.66432912597078,1.2313160373387453,7.788106367615467
02_BD,2025,3.603658358464801,17.765737116453515,1.2603570283945895,8.07851938713423
02_BD,2026,3.593205398896299,17.871929364548347,1.285891071076895,8.359774538385523
02_BD,2027,3.6393882542470344,17.9721853484123,1.336395120342368,8.628714063350925
02_BD,2028,3.684229300993294,18.062676912016997,1.384279551094822,8.885632795293192
02_BD,2029,3.73666980312455,18.13855673903142,1.4341859047740764,9.12969035813035
02_BD,2030,3.785855662114392,18.19525570966251,1.4811953404754514,9.359727813152423
02_BD,2031,3.8332926217557413,18.246162566661916,1.5251976386141557,9.576195110283098
02_BD,2032,3.8887338047044766,18.287792293440678,1.5711720860872986,9.779435768359884
02_BD,2033,3.9425232249734257,18.322322108967104,1.6139069176891252,9.96770926937128
02_BD,2034,3.996398203497605,18.329568657414388,1.655934356965896,10.141616625414999
02_BD,2035,4.087376265758441,18.31647543228914,1.714478946095314,10.303264710773043
02_BD,2036,4.16800899692091,18.277742070986367,1.7671200536364624,10.4508491440712
02_BD,2037,4.255043394674602,18.212773452664248,1.8218905491524182,10.584481059851344
02_BD,2038,4.342561764113406,18.122196066750455,1.876144634280624,10.70522248460445
02_BD,2039,4.43016073649007,18.00447849535154,1.9297616198723504,10.812162789871483
02_BD,2040,4.517470638207174,17.86081667748051,1.9828888359365886,10.90744254410407
02_BD,2041,4.603882646153326,17.688939712482508,2.0353567097112926,10.989561686599231
02_BD,2042,4.683329060394864,17.493678565777486,2.0841943406003343,11.060629025738837
02_BD,2043,4.767032564695193,17.26981151355135,2.135391303827388,11.118810960389501
02_BD,2044,4.879303112480194,17.020936852943276,2.200918163748001,11.165149721656755
02_BD,2045,4.988309239772546,16.746631877412394,2.26569442751449,11.198206762654316
02_BD,2046,5.086374246205339,16.450820398218195,2.3263511578486007,11.21933414075056
02_BD,2047,5.185960050243042,16.136003047027785,2.389632002414553,11.228416074181572
02_BD,2048,5.271682613107339,15.804803045968425,2.4484549956905135,11.224976687157726
02_BD,2049,5.356050287348489,15.461898137026573,2.5100070436320667,11.209846144451571
02_BD,2050,5.430227167431938,15.105643133599884,2.5704982793458275,11.181178154259992
02_BD,2051,0.0,0.0,2.5695767135289205,11.139348635292968
02_BD,2052,0.0,0.0,2.5670995565639085,11.083725301461808
02_BD,2053,0.0,0.0,2.5631292586470082,11.014932344979307
02_BD,2054,0.0,0.0,2.5575722856018253,10.932237990128932
02_BD,2055,0.0,0.0,2.5507822592924234,10.838849606235506
02_BD,2056,0.0,0.0,2.542488863443821,10.732511302193778
02_BD,2057,0.0,0.0,2.533056119330446,10.616523855270453
02_BD,2058,0.0,0.0,2.5221721152262493,10.488306840005361
02_BD,2059,0.0,0.0,2.5102424687372116,10.351515079558357
02_BD,2060,0.0,0.0,2.4971216521420576,10.205029809514244
02_BD,2061,0.0,0.0,2.4829969050661984,10.050601592501899
02_BD,2062,0.0,0.0,2.4678058920155594,9.887842124799116
02_BD,2063,0.0,0.0,2.451652661282445,9.71778420854611
02_BD,2064,0.0,0.0,2.4348388418642983,9.543099808946723
02_BD,2065,0.0,0.0,2.4172397051070487,9.362858918387055
02_BD,2066,0.0,0.0,2.3990320927897693,9.178652088898843
02_BD,2067,0.0,0.0,2.3803200541109883,8.991437037457638
02_BD,2068,0.0,0.0,2.3610724518538655,8.801049879424966
02_BD,2069,0.0,0.0,2.341341340812193,8.608008187681133
02_BD,2070,0.0,0.0,2.321345159572228,8.414152573529439
03_CDA,2017,1276.742451645017,1317.095780186256,1007.983668778,783.694521064
