,Year,Total_GDP
0,2005,3673432
1,2006,3819795
2,2007,4201187
3,2008,4109809
4,2009,3927212
5,2010,4769964
6,2011,5052194
7,2012,5209925
8,2013,5339689
9,2014,5823809
10,2015,5881153
11,2016,6077678
12,2017,6381985
13,2018,6547587
14,2019,6659144
