,Year,Sector,Sectoral_share_of_gdp
125,2016,"Chemicals, petroleum and coal products",0.14708199414315795
126,2016,Non-metallic metal products,0.019796211645302698
127,2016,Transport equipment,0.04074335626204613
128,2016,Machinery,0.07116764000988536
129,2016,Mining,0.0017799560950744677
130,2016,Food and tobaccoo products,0.03772954078843927
131,2016,Pulp paper and printing,0.01613445134803127
132,2017,Basic metals,0.09951229907309403
133,2017,Construction,0.06391945452707895
134,2017,Textiles,0.026412158599557974
135,2017,Other (including electric components and electronics),0.47749438458410665
136,2017,"Chemicals, petroleum and coal products",0.14456630656449365
137,2017,Non-metallic metal products,0.01889145775178099
138,2017,Transport equipment,0.03951544856341718
139,2017,Machinery,0.07493953683689322
140,2017,Mining,0.0017120065308834163
141,2017,Food and tobaccoo products,0.03776442595838129
142,2017,Pulp paper and printing,0.015272521010312623
143,2018,Basic metals,0.09741069496289244
144,2018,Construction,0.0635117944977287
145,2018,Textiles,0.025247163573389707
146,2018,Other (including electric components and electronics),0.48123132995407314
147,2018,"Chemicals, petroleum and coal products",0.14416471289346747
148,2018,Non-metallic metal products,0.018580432760954533
149,2018,Transport equipment,0.038749695116689555
150,2018,Machinery,0.07776483153259361
151,2018,Mining,0.001803717919288434
152,2018,Food and tobaccoo products,0.036547204336498315
153,2018,Pulp paper and printing,0.014988422452424077
154,2019,Basic metals,0.08998228601153542
155,2019,Construction,0.06562975661736704
156,2019,Textiles,0.023937310861576203
157,2019,Other (including electric components and electronics),0.5048561797131884
158,2019,"Chemicals, petroleum and coal products",0.1357922279500188
159,2019,Non-metallic metal products,0.017172327254073496
160,2019,Transport equipment,0.039082801032685285
161,2019,Machinery,0.07114623140752024
162,2019,Mining,0.001801132397797675
163,2019,Food and tobaccoo products,0.0369020402622319
164,2019,Pulp paper and printing,0.013697706492005579
