Year,Activity,Engine type,Energy intensity,Change in energy,Energy
2018,1.0,1.0,1.0,1.0,19544.735161953504
2019,1.0492398425222633,1.004344738408731,0.9785412469584782,1.0311853130735693,20154.243846919024
2020,1.0319766063166869,0.9995164211117677,0.9457927520536852,0.9755640041421648,19067.140094493527
2021,1.1301122648169881,1.0017095410265051,0.9343407956621858,1.0577151141495098,20672.76178284759
2022,1.1898431160660483,1.0014768045082618,0.9051806890779183,1.0786135641344552,21081.216453098677
2023,1.253372945857392,1.0001826516382966,0.8730437705952799,1.0944493090668486,21390.72189389455
2024,1.3189314207512464,0.9970445777810372,0.8443519696439323,1.1103510596122907,21701.517396916675
2025,1.3771242001839739,0.9919135678884882,0.8212120255320368,1.1217659191898557,21924.617804271064
2026,1.4132455985298924,0.986362267067707,0.8065971570987821,1.124373959140878,21975.591254405586
2027,1.4377813659518897,0.9780227545600685,0.7970800862802574,1.1208403808679528,21906.528402887234
2028,1.458754419790219,0.9663836074753577,0.7900432815381342,1.113736938000152,21767.693493298
2029,1.4765010691052767,0.9525519737101605,0.7852015819412964,1.1043420596490614,21584.073084047166
2030,1.4904269268109311,0.9381645956393967,0.78187256005626,1.0932656412334099,21367.58741957027
2031,1.5012814042684253,0.924473474606857,0.779485643562008,1.081844099565781,21144.356412535246
2032,1.5095054717143115,0.9120916309016707,0.7777228522702345,1.0707745062549887,20928.00414292528
2033,1.5147487112982607,0.9011846754901682,0.7762128529151725,1.059583579624771,20709.280445720822
2034,1.5177503418815825,0.8917037189187089,0.7749345174762802,1.0487836858153332,20498.19938143814
2035,1.518535267470638,0.8835493353438375,0.77378386659175,1.0381864531604363,20291.079275748576
2036,1.5170165513801959,0.8763027294549335,0.7730184570472425,1.0276242567442946,20084.643944066553
2037,1.5134573964184717,0.8694251101901851,0.7727418495020714,1.0168029844011972,19873.14504200534
2038,1.5084170539385078,0.8629004992241857,0.772958204254522,1.0060930878053376,19663.822949427355
2039,1.5021087524168,0.8566612121744963,0.7737464684871208,0.9956556438884385,19459.82587230382
2040,1.4942757258856332,0.8506365298021207,0.7750112767702756,0.9851056102164343,19253.628258234803
2041,1.4857070992295962,0.8448790529135249,0.776598540916394,0.974819732337446,19052.59349918179
2042,1.475892471062447,0.8392676262046851,0.7785277742831422,0.9643380411441917,18847.73162076025
2043,1.4653194874416717,0.8337760990756384,0.7808023154438406,0.953943953170771,18644.5819240697
2044,1.454232249356751,0.8283805950701109,0.783354594979623,0.9436742042798295,18443.862401816477
2045,1.4424109154308986,0.8229844980343116,0.7861257473027194,0.9331955853687299,18239.060570335998
2046,1.4304398599648365,0.8175666599864818,0.7892760285931653,0.9230424814757245,18040.62084367541
2047,1.4184321841394185,0.8121406826531838,0.7925920677252883,0.9130394961755912,17845.11514515539
2048,1.406299238434104,0.8066517897065636,0.7960179423353387,0.9029978165204152,17648.8531757138
2049,1.3939707092106404,0.8010377811714271,0.799524313711525,0.8927674007917406,17448.90240970017
2050,1.3817207617116274,0.7953148196723626,0.8031186892665552,0.8825495357368085,17249.196943280942
