Year,Activity,Engine type,Energy intensity,Change in energy,Energy
2018,1.0,1.0,1.0,1.0,31487.35398867914
2019,1.0166307490019861,0.994883873186812,1.010327772474053,1.021875351301313,32176.150918730295
2020,0.8849632883333475,0.9856046881521958,0.9983587351283552,0.8707924152686183,27418.949030219872
2021,1.0220598826019396,0.9864500377229949,0.9930093499625593,1.0011629594148024,31523.972503447487
2022,1.0792197597476716,0.9851751690854251,0.982117983851294,1.0442079829729902,32879.34639767519
2023,1.104090366712106,0.9825130597719645,0.9548750753452082,1.0358324440948836,32615.6228401743
2024,1.126522097272571,0.9796361940509768,0.930831971754749,1.0272492413975767,32345.360498487604
2025,1.1481777496071437,0.9761933193219176,0.9089665749759943,1.0188092305223817,32079.60688839204
2026,1.1601528657965428,0.972501650213998,0.8913616700881378,1.005679318135926,31666.180689239372
2027,1.176488055115298,0.9680154147616506,0.8742692078763129,0.9956689821803687,31350.98169746113
2028,1.191907157081803,0.9628785950164865,0.8586534592228278,0.985443850837203,31029.01936727814
2029,1.207205208308201,0.9572594878732235,0.8442004230596359,0.9755653023260327,30717.970013412574
2030,1.221310515009466,0.9513615625191589,0.8309961038516688,0.9655409212152365,30402.32877685951
2031,1.2340550853203394,0.9453027243076157,0.8192904841073255,0.9557479301990863,30093.973402126037
2032,1.2466816712400601,0.9391782859806965,0.8089391949649647,0.947151597361764,29823.29762707276
2033,1.2579792586213916,0.9329725980836437,0.7999403643562434,0.9388581498208471,29562.158908565372
2034,1.2689506316922008,0.9266668244873631,0.7921332589763995,0.9314651047138138,29329.371480225935
2035,1.2793944552674237,0.9201937108637726,0.7853288235871898,0.9245603451505686,29111.958871651324
2036,1.2889928705132037,0.913471980689196,0.7796440080431625,0.9179987531197082,28905.35170064632
2037,1.2977743032377678,0.9064615059780217,0.774745509807742,0.9113970204369777,28697.480606726556
2038,1.306032319816944,0.8986639230980378,0.7707509632819863,0.9046181724139785,28484.032619390917
2039,1.3136930608127173,0.8900633438100788,0.7675392670724096,0.8974606683193881,28258.661754289133
2040,1.320780899373433,0.8806828205460749,0.765139448915175,0.8900018270052937,28023.80257748686
2041,1.3275227538424033,0.8705100419336023,0.7633995686817496,0.8822012509463051,27778.183077801867
2042,1.3335591269457132,0.859570845995389,0.7624638616431384,0.874003592052294,27520.060490327694
2043,1.3393387670941497,0.8479111879893116,0.7621944118255863,0.865578709655547,27254.78323598833
2044,1.3449750578957316,0.8355356682179305,0.762560799323032,0.8569464829601834,26982.97725832089
2045,1.34979890205084,0.8224507670532917,0.7634247580419848,0.8475107598476967,26685.871304538865
2046,1.3548286999468857,0.8087144802077258,0.7649225001889206,0.8381023205176996,26389.624444874233
2047,1.359778296084431,0.7943538651842692,0.7669033535832621,0.8283669342783149,26083.08289213821
2048,1.3645167106541298,0.7794479207326782,0.7693240228308228,0.8182297301079894,25763.889155971654
2049,1.3689838243022103,0.7640883454705221,0.7721446790910107,0.8076823177277263,25431.779048689736
2050,1.3729178233436694,0.7485106718195411,0.7752998541390892,0.7967319659852484,25086.981447073787
