Year,Activity,Engine type,Energy intensity,Change in energy,Energy
2018,1.0,1.0,1.0,1.0,19554.61490007346
2019,1.0492271456342002,1.0043441899269319,0.9785378480276977,1.0311686897882224,20164.106625822
2020,1.0319706633978465,0.9995221006405086,0.9457989161353941,0.9755702875947453,19076.901281869155
2021,1.1325731568016453,1.0019987436970064,0.9349389856864191,1.061003241750013,20747.509800151045
2022,1.1948315169400645,1.0020548065321528,0.9062330558836522,1.0850207527801705,21217.16297920404
2023,1.2609155156065153,1.0019877831562352,0.8739279664463813,1.1041397687366907,21591.027973502154
2024,1.3291196311008966,1.0016190798131173,0.8442950530648972,1.1239860108543565,21979.113595326726
2025,1.3911332368218345,1.0015971129246726,0.8196946530805208,1.1421256709620498,22333.827663150896
2026,1.4385497720268627,1.0016374229056568,0.8024409950251697,1.1562414717353855,22609.856711279637
2027,1.4756044315414654,1.0020456646320086,0.7894963115503172,1.167367423098655,22827.420405585315
2028,1.5106375431314034,1.0023205100138446,0.7781279160147284,1.1781969314404708,23039.18727076666
2029,1.5441187161205292,1.0025034357406575,0.768265275657871,1.1892625988609113,23255.572135785664
2030,1.575258919763869,1.0026469773465723,0.759643375999061,1.1998024696294514,23461.675249761003
2031,1.6044532481047358,1.002752111352929,0.752533928977501,1.2107284210594287,23675.328022391117
2032,1.631829309601111,1.0027858935258298,0.7469345106349633,1.2222652678088468,23900.92661773715
2033,1.656700065383754,1.0027394670953567,0.7425223681683898,1.2335067753329771,24120.7499682678
2034,1.679751155564361,1.00256780401749,0.7393895514978196,1.245179641616963,24349.00837323119
2035,1.7008734591228287,1.0022735610790947,0.7373519401607477,1.2569937142754966,24580.028014470307
2036,1.7198672338948258,1.0018165534342385,0.7363016370601425,1.2686414360440337,24807.79472811725
2037,1.7366740494007311,1.0012066184643373,0.7360174791233901,1.2797647827157534,25025.307488682745
2038,1.751770694719859,1.00041858758402,0.7364241418281728,1.2905862278737301,25236.916681409242
2039,1.765359829098083,0.9994338403957921,0.7374742499851532,1.3011703285307146,25443.88469382019
2040,1.7769735997100815,0.9982518799277494,0.7389472924318566,1.3107943915397644,25632.079539736198
2041,1.7875964557925046,0.996799734188019,0.7408729966038713,1.3201435686675154,25814.899098101945
2042,1.7965039194132457,0.9950783370893075,0.7431554770998597,1.3285109051231088,25978.51914023042
2043,1.8042295466149074,0.9930740702962876,0.7457781911548585,1.336235828029753,26129.577032802605
2044,1.8110402328384825,0.9907669666291494,0.7486743215248977,1.3433604385886304,26268.896048594444
2045,1.81661653150542,0.9881550453061296,0.7517170013529587,1.3494062802980327,26387.120154968612
2046,1.8216784278835054,0.985213282265374,0.7550479840972179,1.3551161653553903,26498.774758388925
2047,1.8264756685458625,0.9819417823913553,0.7584853896352857,1.3603380650907047,26600.886996759793
2048,1.8308344636416678,0.9783581210946954,0.761889472252694,1.364705387002082,26686.28829488143
2049,1.834584864270375,0.9744794476087905,0.765140762824632,1.3678920634067993,26748.602524786824
2050,1.8382232992294691,0.9703143805217855,0.7682611834463714,1.3703125184526912,26795.93359109218
