Year,Activity,GDP_category,Energy intensity,Change in energy,Energy
2017,1.0,1.0,1.0,1.0,70229.23587930897
2018,1.0328086287589517,0.9997996096039516,1.0045979281344115,1.0373494920705497,72852.262167904
2019,1.0387321953778617,1.0052097978905532,1.00601772153595,1.0504271466907964,73770.69585897741
2020,1.0365224111550173,0.9956971475648431,1.007284370216406,1.0395803328416604,73008.9324106275
2021,1.083211238240457,0.9986116645452524,1.014312588580442,1.0971894103344957,77054.7739026612
2022,1.1005802214998097,0.997862477788235,1.0030810670239159,1.1016114200027909,77365.3282627165
2023,1.1021518792476113,1.0023939097373253,0.9955383360029149,1.0998611281175823,77242.40660105254
2024,1.0968080046555664,1.0080011177280905,0.9876814659193713,1.0919645242046903,76687.8341422086
2025,1.092369345361492,1.011465025651673,0.9803975427742615,1.0832347625513203,76074.7496518839
2026,1.0930647408567844,1.0146136428624264,0.9725413624676499,1.078585715208417,75748.2506094251
2027,1.0934546766076194,1.0180739072834892,0.964773129138388,1.0740024997714264,75426.37489141498
2028,1.0881877418814536,1.0210474122291051,0.9576841739372179,1.0640745326133754,74729.1413440702
2029,1.087142932613875,1.0219316217189132,0.9497725330422286,1.0551837406115923,74104.74781542308
2030,1.0868123382183732,1.0226411218520153,0.9428500950287245,1.0479014992051583,73593.32156596058
2031,1.0862210085275072,1.0246759679827873,0.9359883070771764,1.0417779767910487,73163.2712659278
2032,1.085037656599906,1.0262625125839542,0.9295102172418441,1.035040739195622,72690.12021766364
2033,1.084341841826251,1.0276132726481026,0.923087242651699,1.028581408551625,72236.48636224393
2034,1.0838118318782626,1.0286857343529863,0.9166578025886234,1.0219834067518319,71773.11373751416
2035,1.0823329840728526,1.0293750106848927,0.9099951220247103,1.0138497049289206,71201.89007362096
2036,1.0823606188443837,1.0299819542967033,0.9038689389979937,1.007643854162442,70766.05791631014
2037,1.0824710041495158,1.0303150283584501,0.8978343062875408,1.0013421608155377,70323.49480781134
2038,1.0818673748010783,1.0302255755598082,0.8913306250387387,0.9934480919481407,69769.10038327538
2039,1.0822327173398274,1.029909294257466,0.8852788435824328,0.9867331571967185,69297.5156467036
2040,1.0826190632013926,1.0292129662860339,0.8789202039359011,0.9793329501189627,68777.80475828415
2041,1.0826356627291547,1.028777247651985,0.8725663738748887,0.9718565194253785,68252.74074356913
2042,1.0843419056218182,1.027554801758227,0.8667936458692376,0.9657994504801367,67827.3574198765
2043,1.0860400447903116,1.0259389535468568,0.8611144243320386,0.9594629804855742,67382.35197398621
2044,1.086061237716899,1.0243103265016154,0.8551080953137791,0.9512767506777485,66807.43930985019
2045,1.0875880307322958,1.0220938776779938,0.8494185907377015,0.9442282030409834,66312.42519526125
2046,1.0893316729102698,1.0204555174581789,0.8442742798618323,0.9385075449488187,65910.66774872177
2047,1.0894445451496875,1.0187355846497193,0.8387298795486754,0.930869326833885,65374.24152703046
2048,1.0912341206839637,1.016497871870531,0.8333205605450372,0.924350133105034,64916.40353290406
2049,1.0929565788872209,1.0139860022804488,0.8278649753035506,0.9174752923617584,64433.58872071189
2050,1.0930867553358956,1.0113615682524801,0.8220132332555767,0.9087405081050779,63820.1514967946
