,Sector,Year,PJ
59,"Chemicals, petroleum and coal products",2010,364.1392930469095
60,Non-metallic metal products,2010,99.25621143835775
61,Transport equipment,2010,10.50780138439199
62,Machinery,2010,186.95230110727064
63,Mining,2010,3.735859807793269
64,Food and tobaccoo products,2010,28.59763812383094
65,Pulp paper and printing,2010,45.47656723610733
66,Basic metals,2011,161.24420480716668
67,Construction,2011,5.6332824613667185
68,Textiles,2011,57.36932849299413
69,Other (including electric components and electronics),2011,24.891522398473462
70,"Chemicals, petroleum and coal products",2011,349.0153920707921
71,Non-metallic metal products,2011,115.14344794332433
72,Transport equipment,2011,10.917995619045978
73,Machinery,2011,199.69131390055904
74,Mining,2011,3.8477075475625035
75,Food and tobaccoo products,2011,28.611233993472265
76,Pulp paper and printing,2011,48.31255042893075
77,Basic metals,2012,156.14961821619121
78,Construction,2012,5.727682305073756
79,Textiles,2012,57.79263864823195
80,Other (including electric components and electronics),2012,26.31717018456773
81,"Chemicals, petroleum and coal products",2012,337.2149603594954
82,Non-metallic metal products,2012,110.86493732354526
83,Transport equipment,2012,10.974066752015181
84,Machinery,2012,206.5346222931422
85,Mining,2012,3.194464285229947
86,Food and tobaccoo products,2012,28.707744727893036
87,Pulp paper and printing,2012,48.61434741848922
88,Basic metals,2013,166.8861884055659
89,Construction,2013,4.747965850674916
90,Textiles,2013,58.474992794990406
91,Other (including electric components and electronics),2013,25.41514942495632
92,"Chemicals, petroleum and coal products",2013,339.56884655164964
93,Non-metallic metal products,2013,113.03157690105418
94,Transport equipment,2013,11.167026103222762
95,Machinery,2013,215.3429328073677
96,Mining,2013,3.1155133880372325
97,Food and tobaccoo products,2013,28.170678208744164
98,Pulp paper and printing,2013,47.68569640987526
99,Basic metals,2014,160.52354070439432
100,Construction,2014,4.99357646126961
101,Textiles,2014,57.01717048254566
102,Other (including electric components and electronics),2014,25.24261441614716
103,"Chemicals, petroleum and coal products",2014,338.7225722586192
104,Non-metallic metal products,2014,100.02623548982946
105,Transport equipment,2014,11.75838083235945
106,Machinery,2014,223.72298411339176
107,Mining,2014,3.1227499103706116
108,Food and tobaccoo products,2014,28.780995428762765
109,Pulp paper and printing,2014,47.34234708894036
110,Basic metals,2015,151.51842083855294
111,Construction,2015,4.489476994997062
112,Textiles,2015,52.25650631537129
113,Other (including electric components and electronics),2015,27.156378238603665
114,"Chemicals, petroleum and coal products",2015,332.28138993578284
115,Non-metallic metal products,2015,98.69185062383644
116,Transport equipment,2015,11.439477963667661
117,Machinery,2015,226.99662361513728
118,Mining,2015,3.088035589555499
119,Food and tobaccoo products,2015,28.923101856715775
120,Pulp paper and printing,2015,43.05657688596824
121,Basic metals,2016,154.59739983548926
122,Construction,2016,4.300284257050489
123,Textiles,2016,47.735239496545255
124,Other (including electric components and electronics),2016,28.00888530388739
125,"Chemicals, petroleum and coal products",2016,340.38246842037233
126,Non-metallic metal products,2016,91.81374007863332
127,Transport equipment,2016,11.52291726158422
128,Machinery,2016,237.1354605044227
129,Mining,2016,2.82855734881319
130,Food and tobaccoo products,2016,29.569932253151567
131,Pulp paper and printing,2016,41.59862185833735
132,Basic metals,2017,154.57966605450463
133,Construction,2017,4.366634617166391
134,Textiles,2017,46.49463897449727
135,Other (including electric components and electronics),2017,28.608746820856286
136,"Chemicals, petroleum and coal products",2017,337.5031634067643
137,Non-metallic metal products,2017,86.50177144831248
138,Transport equipment,2017,11.805301620752314
139,Machinery,2017,248.37250454932305
140,Mining,2017,2.8670539947427063
141,Food and tobaccoo products,2017,29.334144244854507
142,Pulp paper and printing,2017,40.404293523858186
143,Basic metals,2018,166.2073252092262
144,Construction,2018,4.029356545112399
145,Textiles,2018,48.99938079435548
146,Other (including electric components and electronics),2018,26.071267308715942
147,"Chemicals, petroleum and coal products",2018,381.9847899442351
148,Non-metallic metal products,2018,79.0149615051832
149,Transport equipment,2018,12.89973955302338
150,Machinery,2018,246.65813119162473
151,Mining,2018,0.912934639036677
152,Food and tobaccoo products,2018,30.047941280455646
153,Pulp paper and printing,2018,44.073888806324184
154,Basic metals,2019,156.87347499186436
155,Construction,2019,3.878629970481797
156,Textiles,2019,46.00317186517162
157,Other (including electric components and electronics),2019,24.023333277855528
158,"Chemicals, petroleum and coal products",2019,372.5544829732655
159,Non-metallic metal products,2019,80.0744542045181
160,Transport equipment,2019,12.748232397497986
161,Machinery,2019,248.64095573402977
162,Mining,2019,1.009319535115665
163,Food and tobaccoo products,2019,30.767547057092674
164,Pulp paper and printing,2019,43.1334764018286
