Economy,Year,Residential,GDP per capita
02_BD,2050,7.6935074292813095,70890.69777538603
02_BD,2051,0.0,
02_BD,2052,0.0,
02_BD,2053,0.0,
02_BD,2054,0.0,
02_BD,2055,0.0,
02_BD,2056,0.0,
02_BD,2057,0.0,
02_BD,2058,0.0,
02_BD,2059,0.0,
02_BD,2060,0.0,
02_BD,2061,0.0,
02_BD,2062,0.0,
02_BD,2063,0.0,
02_BD,2064,0.0,
02_BD,2065,0.0,
02_BD,2066,0.0,
02_BD,2067,0.0,
02_BD,2068,0.0,
02_BD,2069,0.0,
02_BD,2070,0.0,
03_CDA,2017,1472.7853695386484,48303.0186765861
03_CDA,2018,1551.8910395209346,48764.663580353954
03_CDA,2019,1585.1022806493952,49099.2845970347
03_CDA,2020,1519.5023911358903,45651.0786948099
03_CDA,2021,1535.1298614684706,47161.36991408644
03_CDA,2022,1553.4723855878533,47488.36975744663
03_CDA,2023,1566.1628218898072,47843.3708547897
03_CDA,2024,1573.3084191095104,48227.225296272074
03_CDA,2025,1580.4217189035114,48637.565389602154
03_CDA,2026,1590.1965062859895,49070.129400473714
03_CDA,2027,1597.2964732227342,49529.159642011175
03_CDA,2028,1607.1605551916502,50014.68716217161
03_CDA,2029,1617.0161200950267,50527.557041087355
03_CDA,2030,1624.2655180178085,51068.74391265035
03_CDA,2031,1633.9660484516196,51638.714335539145
03_CDA,2032,1643.6079536055695,52232.31301493502
03_CDA,2033,1654.6584595491152,52850.5065466539
03_CDA,2034,1660.947277234684,53494.052674108156
03_CDA,2035,1666.1756948256052,54163.32876850661
03_CDA,2036,1673.9479151728524,54858.2526537327
03_CDA,2037,1681.6681841710756,55578.382764948794
03_CDA,2038,1686.8589041540529,56323.039579319564
03_CDA,2039,1694.4888423272682,57091.278752368016
03_CDA,2040,1702.0615694378791,57882.32623868272
03_CDA,2041,1709.7257375198162,58695.95641291102
03_CDA,2042,1717.349525978152,59531.93443076388
03_CDA,2043,1727.338519045336,60388.7784446837
03_CDA,2044,1734.8587289876696,61264.46328362707
03_CDA,2045,1744.7077931359522,62157.261799615764
03_CDA,2046,1752.0910222164664,63066.25895411821
03_CDA,2047,1761.7572687702705,63991.19846246055
03_CDA,2048,1771.3237046079466,64931.88341339276
03_CDA,2049,1782.1133619106265,65888.31096610379
03_CDA,2050,1793.7876158369143,66860.8351649723
03_CDA,2051,1804.3453085332867,
03_CDA,2052,1814.8196402010512,
03_CDA,2053,1827.4938670052986,
03_CDA,2054,1837.7594278786535,
03_CDA,2055,1850.1818197476537,
03_CDA,2056,1862.464438062658,
03_CDA,2057,1872.3524278318816,
03_CDA,2058,1884.3521387647584,
03_CDA,2059,1898.4243752642515,
03_CDA,2060,1910.0898178004286,
03_CDA,2061,1921.587479685518,
03_CDA,2062,1935.1214409399513,
03_CDA,2063,1948.4800151668942,
03_CDA,2064,1961.6776715565843,
03_CDA,2065,1974.7275953580447,
03_CDA,2066,1987.6347627626951,
03_CDA,2067,2000.4039239572076,
03_CDA,2068,2015.1870394403104,
03_CDA,2069,2027.7123696250576,
03_CDA,2070,2042.2606969222245,
04_CHL,2017,202.35483025768735,23723.810206508508
04_CHL,2018,205.99915216884307,24337.692599430426
04_CHL,2019,204.78410985219818,24316.05662842919
04_CHL,2020,193.3982262571501,23022.40011349494
04_CHL,2021,198.51884700292376,24121.259317334694
04_CHL,2022,201.4680589119865,24682.775669925733
04_CHL,2023,204.3121920232119,25284.696992128098
04_CHL,2024,207.09724799372862,25898.4216874244
04_CHL,2025,209.5183532603852,26501.051501572558
04_CHL,2026,211.85513360925992,27083.267555843973
04_CHL,2027,213.78725789657528,27651.81882508594
04_CHL,2028,215.89649716831175,28205.10523819492
04_CHL,2029,217.84371732811408,28745.488901644825
04_CHL,2030,219.60583839229383,29275.46158114544
04_CHL,2031,221.18044801467093,29791.570837696032
04_CHL,2032,222.89589884749552,30290.13834321898
04_CHL,2033,224.21369807603153,30779.722089789495
04_CHL,2034,225.50091652909808,31272.509945531838
04_CHL,2035,227.0921522610938,31778.126552173035
04_CHL,2036,228.71732444579814,32300.646221438215
04_CHL,2037,230.10109931970493,32839.55565421899
04_CHL,2038,231.78841090392808,33394.166986803255
04_CHL,2039,233.47615971365016,33961.4786580526
04_CHL,2040,235.14342731029535,34539.13073116919
04_CHL,2041,237.10815773245818,35127.458780227535
04_CHL,2042,239.09953450839396,35731.12157003056
04_CHL,2043,241.35953854803128,36350.23500687122
