GDP_category,economy,year,unit,scenario,activity,energy,intensity
Aluminium,01_AUS,2028,thousand tonnes,Reference,1488.1498957296494,279.3908085149911,0.1877437275080438
Aluminium,01_AUS,2029,thousand tonnes,Carbon Neutral,1474.0223652049756,259.598962225475,0.17611602669907625
Aluminium,01_AUS,2029,thousand tonnes,Reference,1474.0223652049756,274.80083190317976,0.1864292146374362
Aluminium,01_AUS,2030,thousand tonnes,Carbon Neutral,1458.8283253425482,253.2918583322612,0.17362691272997158
Aluminium,01_AUS,2030,thousand tonnes,Reference,1458.8283253425482,270.06387082662485,0.18512381898206634
Aluminium,01_AUS,2031,thousand tonnes,Carbon Neutral,1454.9613380837934,249.04167538333326,0.17116721170840526
Aluminium,01_AUS,2031,thousand tonnes,Reference,1454.9613380837934,267.4618576220446,0.1838274671781286
Aluminium,01_AUS,2032,thousand tonnes,Carbon Neutral,1450.30719438019,244.71908870745793,0.16873603720351274
Aluminium,01_AUS,2032,thousand tonnes,Reference,1450.30719438019,264.7392008417636,0.18254008658827883
Aluminium,01_AUS,2033,thousand tonnes,Carbon Neutral,1445.020495294495,240.35392700758115,0.16633253838977352
Aluminium,01_AUS,2033,thousand tonnes,Reference,1445.020495294495,261.92673465910707,0.18126160529351276
Aluminium,01_AUS,2034,thousand tonnes,Carbon Neutral,1439.0791731984748,235.945519384466,0.16395589886834175
Aluminium,01_AUS,2034,thousand tonnes,Reference,1439.0791731984748,259.0226695890572,0.17999195208513616
Aluminium,01_AUS,2035,thousand tonnes,Carbon Neutral,1432.54619238062,231.50710806915077,0.16160533552110448
Aluminium,01_AUS,2035,thousand tonnes,Reference,1432.54619238062,256.0404943873833,0.17873105645682016
Aluminium,01_AUS,2036,thousand tonnes,Carbon Neutral,1431.641759827008,228.03203894238968,0.15928009739667265
Aluminium,01_AUS,2036,thousand tonnes,Reference,1431.641759827008,254.0861311371242,0.17747884859675134
Aluminium,01_AUS,2037,thousand tonnes,Carbon Neutral,1430.2783449113604,224.52432885252637,0.15697946462752393
Aluminium,01_AUS,2037,thousand tonnes,Reference,1430.2783449113604,252.06547510087768,0.17623525937987902
Aluminium,01_AUS,2038,thousand tonnes,Carbon Neutral,1428.4245404781825,220.98120083342187,0.15470274737750286
Aluminium,01_AUS,2038,thousand tonnes,Reference,1428.4245404781825,249.97460935164492,0.17500022036023188
Aluminium,01_AUS,2039,thousand tonnes,Carbon Neutral,1426.1222286692132,217.41131382505392,0.15244928481896775
Aluminium,01_AUS,2039,thousand tonnes,Reference,1426.1222286692132,247.82248465019583,0.17377366376334483
Aluminium,01_AUS,2040,thousand tonnes,Carbon Neutral,1423.259661942947,213.7998520226036,0.1502184441388138
Aluminium,01_AUS,2040,thousand tonnes,Reference,1423.259661942947,245.59131458950247,0.17255552247875572
Aluminium,01_AUS,2041,thousand tonnes,Carbon Neutral,1419.6650681694232,210.12408666037908,0.14800961957267994
Aluminium,01_AUS,2041,thousand tonnes,Reference,1419.6650681694232,243.25354753566043,0.1713457300525975
Aluminium,01_AUS,2042,thousand tonnes,Carbon Neutral,1415.6098581959652,206.4273884082843,0.1458222314666222
Aluminium,01_AUS,2042,thousand tonnes,Reference,1415.6098581959652,240.85783611005564,0.1701442206802669
Aluminium,01_AUS,2043,thousand tonnes,Carbon Neutral,1411.1067325921806,202.71356123879093,0.14365572536558546
Aluminium,01_AUS,2043,thousand tonnes,Reference,1411.1067325921806,238.4077936706783,0.1689509291991875
Aluminium,01_AUS,2044,thousand tonnes,Carbon Neutral,1406.1910199208637,198.98948815302484,0.1415095711279847
